Point_ID,Annotation,Region,X,Y,Z
3395,0,3,37635,33527,0
3396,0,3,37638,33527,0
3397,0,3,37643,33525,0
3398,0,3,37648,33525,0
3399,0,3,37655,33525,0
3400,0,3,37657,33525,0
3401,0,3,37662,33525,0
3402,0,3,37665,33525,0
3403,0,3,37667,33523,0
3404,0,3,37668,33523,0
3405,0,3,37670,33523,0
3406,0,3,37673,33523,0
3407,0,3,37678,33522,0
3408,0,3,37683,33522,0
3409,0,3,37685,33522,0
3410,0,3,37688,33522,0
3411,0,3,37693,33522,0
3412,0,3,37697,33520,0
3413,0,3,37698,33520,0
3414,0,3,37702,33520,0
3415,0,3,37703,33520,0
3416,0,3,37707,33520,0
3417,0,3,37708,33518,0
3418,0,3,37710,33518,0
3419,0,3,37713,33518,0
3420,0,3,37718,33517,0
3421,0,3,37722,33517,0
3422,0,3,37727,33517,0
3423,0,3,37732,33517,0
3424,0,3,37737,33517,0
3425,0,3,37740,33515,0
3426,0,3,37745,33515,0
3427,0,3,37748,33515,0
3428,0,3,37752,33515,0
3429,0,3,37755,33515,0
3430,0,3,37757,33515,0
3431,0,3,37760,33515,0
3432,0,3,37768,33513,0
3433,0,3,37773,33513,0
3434,0,3,37777,33513,0
3435,0,3,37783,33513,0
3436,0,3,37787,33513,0
3437,0,3,37792,33512,0
3438,0,3,37795,33512,0
3439,0,3,37800,33512,0
3440,0,3,37803,33512,0
3441,0,3,37807,33510,0
3442,0,3,37808,33510,0
3443,0,3,37812,33510,0
3444,0,3,37815,33510,0
3445,0,3,37817,33510,0
3446,0,3,37822,33510,0
3447,0,3,37823,33510,0
3448,0,3,37828,33508,0
3449,0,3,37832,33508,0
3450,0,3,37835,33508,0
3451,0,3,37837,33508,0
3452,0,3,37842,33508,0
3453,0,3,37845,33508,0
3454,0,3,37848,33508,0
3455,0,3,37850,33508,0
3456,0,3,37853,33508,0
3457,0,3,37858,33507,0
3458,0,3,37862,33507,0
